Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:5.A10,"urn:cite:hmt:vaimg.VA064VN-0566@0.549,0.3554,0.016,0.0158",urn:cite:hmt:msA.64v
urn:cts:greekLit:tlg5026.msAil.hmt:5.A11,"urn:cite:hmt:vaimg.VA067VN-0569@0.574,0.5507,0.013,0.012",urn:cite:hmt:msA.67v
urn:cts:greekLit:tlg5026.msAil.hmt:5.A1,"urn:cite:hmt:vaimg.VA068RN-0069@0.221,0.2449,0.016,0.009",urn:cite:hmt:msA.68r
urn:cts:greekLit:tlg5026.msAil.hmt:5.A2,"urn:cite:hmt:vaimg.VA076RN-0077@0.245,0.2998,0.013,0.0113",urn:cite:hmt:msA.76r
urn:cts:greekLit:tlg5026.msAil.hmt:5.A3,"urn:cite:hmt:vaimg.VA076VN-0579@0.613,0.293,0.014,0.012",urn:cite:hmt:msA.76v
urn:cts:greekLit:tlg5026.msAil.hmt:5.A4,"urn:cite:hmt:vaimg.VA076VN-0579@0.627,0.58,0.013,0.0075",urn:cite:hmt:msA.76v
urn:cts:greekLit:tlg5026.msAil.hmt:5.A5,"urn:cite:hmt:vaimg.VA076VN-0579@0.705,0.5988,0.011,0.0113",urn:cite:hmt:msA.76v
urn:cts:greekLit:tlg5026.msAil.hmt:5.A6,"urn:cite:hmt:vaimg.VA077RN-0078@0.293,0.2134,0.012,0.0113",urn:cite:hmt:msA.77r
urn:cts:greekLit:tlg5026.msAil.hmt:5.A7,"urn:cite:hmt:vaimg.VA077RN-0078@0.229,0.592,0.015,0.0128",urn:cite:hmt:msA.77r
urn:cts:greekLit:tlg5026.msAil.hmt:5.A8,"urn:cite:hmt:vaimg.VA077VN-0580@0.49,0.4996,0.016,0.0098",urn:cite:hmt:msA.77v
urn:cts:greekLit:tlg5026.msAil.hmt:5.A9,"urn:cite:hmt:vaimg.VA078VN-0581@0.498,0.3629,0.012,0.0105",urn:cite:hmt:msA.78v
